;kurz;source_domain;title;match;match_long;type
110625;HansHuckebein;service.randomhouse.de;Wilhelm Busch, Heinz Erhardt, Joachim Ringelnatz, Ludwig Thoma, Kurt Tucholsky, Mark Twain - Ich bin so knallvergnügt erwacht 2 - Presse-Hörbuchinfo; Moritz / Hans Huckebein / Die fro;"allvergnügt erwacht 2
» Max & Moritz / Fipps der Affe
» Max und Moritz
» Max und Moritz / Hans Huckebein / Die fromme Helene
» Max und Moritz op Kölsch
» Meine Zauberweihnacht
» Solange Herz und";meta
173036;HansHuckebein;service.randomhouse.de;Johann Wolfgang von Goethe, Marie von Ebner-Eschenbach, Jonathan Swift, Wilhelm Busch, Rosa Luxemburg - Hören & Gestalten: Handlettering - Presse-Hörbuchinfo; Moritz / Hans Huckebein / Die fro;"h
» Der Schmetterling
» Max & Moritz / Fipps der Affe
» Max und Moritz
» Max und Moritz / Hans Huckebein / Die fromme Helene
» Max und Moritz op Kölsch
» Solange Herz und Auge offen
» Und die Mo";meta
87733;HansHuckebein;service.randomhouse.de;Herman Bang, Ludwig Bechstein, Wilhelm Busch, Matthias Claudius, Paula Dehmel, Hoffmann von Fallersleben, Theodor Fontane, Brüder Grimm, Selma Lagerlöf, Hermann Löns, Joachim Ringelnatz, Rainer Maria Rilke, Ludwig Thoma - Morgen, Kinder, wird's was geben - Presse-Hörbuchinfo; Moritz / Hans Huckebein / Die fro;"knallvergnügt erwacht
» Max & Moritz / Fipps der Affe
» Max und Moritz
» Max und Moritz / Hans Huckebein / Die fromme Helene
» Max und Moritz op Kölsch
» Solange Herz und Auge offen
» Und die Mo";double
97093;HansHuckebein;service.randomhouse.de;Wilhelm Busch, Heinz Erhardt, Joachim Ringelnatz, Ludwig Thoma, Kurt Tucholsky, Mark Twain - Ich bin so knallvergnügt erwacht 2 - Presse-Hörbuchinfo; Moritz / Hans Huckebein / Die fro;"talten: Handlettering
» Max & Moritz / Fipps der Affe
» Max und Moritz
» Max und Moritz / Hans Huckebein / Die fromme Helene
» Max und Moritz op Kölsch
» Solange Herz und Auge offen
» Und die Mo";meta
8748;HansHuckebein;www.hoga-presse.de;Wo die Puppen tanzen: Das Tölzer Land lädt zum 7. Larizell; Oder von Hans Huckebein, der zu v;" und Gebärden. Zum Beispiel von dem Punk, der einen Schmetterling fangen wollte. Oder von Hans Huckebein, der zu viel Schnaps trinkt.
Die Idee des Festivals knüpft an die lange Tradition des Mar";meta
198209;HansHuckebein;woerterbuchnetz.de;Wörterbuchnetz - Meyers Großes Konversationslexikon;" Zweck«, »Hans Huckebein«; ferner ";"(Berl. 1893), »Der Hungerturm«, »Mauerblümchen«, »Zwei Wappen«, »Zum wohltätigen Zweck«, »Hans Huckebein«; ferner mit H. Wilken den Einakter »Migräne« (Mühlh. 1901), mit O. Blumenthal: »Großstad";meta
103832;HansHuckebein;www.buch-rezensionen.com;Wilhelm Busch - 100. Todestag - Literatur Blog; anderem „Hans Huckebein, der Ungl;ls einen Vorläufer der Comics bezeichnen kann. Weitere bekannte Werke sind unter anderem „Hans Huckebein, der Unglücksrabe“ (1867), „Die fromme Helene“ (1872) und „Fips der Affe“ (1879). Weniger;meta
36002;HansHuckebein;www.versand-as.de;Wilhelm Busch - Hans Huckebein der Unglücksrabe; eBooks » Hans Huckebein der Unglü;"Startseite » eBooks » Hans Huckebein der Unglücksrabe
»E-Book-Sammlung Zeno.org«: Wilhelm Busch – Hans Huckebein der Unglücksr";meta
51659;HansHuckebein;www.ohrka.de;OHRKA e.V.: suchen; ihr auch Hans Huckebein (Kapitel ; Lausbuben-Streiche in Gedichtform von Wilhelm Busch. Neben Max und Moritz könnt ihr auch Hans Huckebein (Kapitel 2) und Das Bad am Samstagabend (Kapitel 3) hören. Eine wunderbare neue Aufnahme ;meta
13374;HansHuckebein;umlauf.de;ZeitPunkte - UmlaufOnline; wie z.B. Hans Huckebein und Die f;en Popularität beigetragen hat. Daneben hat er noch weitere lustige Geschichten, wie z.B. Hans Huckebein und Die fromme Helene geschrieben. Seine Verknüpfung von Bilderfolgen und Texten fand sch;meta
