;kurz;source_domain;title;match;match_long;type
176193;KritikDesHerzens;www.schultreff.de;Busch, Wilhelm;" 1874 Die Kritik des Herzens
- 1879 Fi";"gehören :
- 1865 Max und Moritz
- 1870 Hans Huckebein
- 1872 Die fromme Helene
- 1874 Die Kritik des Herzens
- 1879 Fipps der Affe
- 1884 Maler Klecksel
- 1909 Schein und Sein Erzählung :
Eduards Tr";meta
8256;KritikDesHerzens;www.claudio.de;Wer Sorgen hat, hat auch Likör ... | Wilhelm Busch | Claudio.de; Helene · Kritik des Herzens · Peinlic;eime alltäglicher Verlogen- und Verschrobenheiten: · Max und Moritz · Die fromme Helene · Kritik des Herzens · Peinlich berührt · Der Esel · Die Täuschung · Es ist halt schön · u.a. Gelesen von Fran;meta
17621;KritikDesHerzens;www.abipur.de;Busch, Wilhelm (1832 - 1908) :: Hausaufgaben / Referate => abi-pur.de;ealismus, Kritik des Herzens, Fliegend;"Wilhelm (1832 - 1908)
Wilhelm Busch, Max und Moritz, Maler, Zeichner, Dichter, Realismus, Kritik des Herzens, Fliegende Blätter, Münchner Bilderbogen, Referat, Hausaufgabe, Busch, Wilhelm (1832 - 19";meta
67908;KritikDesHerzens;lexikon.stangl.eu;Mentiologie | Online Lexikon für Psychologie und Pädagogik | Mobile Version;"gen.
Aus: Kritik des Herzens, 1874.
Si";"erliche Betrügen.
Du weißt Bescheid, ich weiß Bescheid;
Und allen macht’s Vergnügen.
Aus: Kritik des Herzens, 1874.
Siehe dazu Lügen, Täuschen und Verdecken.
Birnbaum, Gurit E., Iluz, Mor & Reis, Ha";meta
3676;KritikDesHerzens;lewin-fischer.de;Wilhelm Busch - Tobias Knopp;htbänden «Kritik des Herzens» (1874) u;"Der Schreihals, Die Prise. Der Lyriker Busch sprach sich aus in den beiden Gedichtbänden «Kritik des Herzens» (1874) und «Zu guter Letzt» (1904) (rororo Nr. 257).
R. Schaukai: W. B., 1905;
H. Balzer";meta
728;KritikDesHerzens;lewin-fischer.de;Wilhelm Busch - Die fromme Helene;htbänden «Kritik des Herzens» (1894) u;"Der Schreihals, Die Prise. Der Lyriker Busch sprach sich aus in den beiden Gedichtbänden «Kritik des Herzens» (1894) und «Zu guter Letzt» (1904) (rororo Nr. 257).
R. Schaukal: W. B., 1905;
H. Balzer";meta
160561;KritikDesHerzens;hoergut-verlag.de;Busch, Wilhelm;"htungen (»Kritik des Herzens«, 1874; »";"n dichterischen Werk. Weder seine von Heinrich Heine beeinflussten lyrischen Dichtungen (»Kritik des Herzens«, 1874; »Zu guter Letzt«, 1904) noch seine Prosa (»Eduards Traum«, 1891; »Der Schmetterli";meta
4745;KritikDesHerzens;zav.arbeitsagentur.de;ZAV Künstlervermittlung - Show -;klen „Die Kritik des Herzens“ und „Sch;um Zuhören und Schmunzeln( nicht aus „Max & Moritz“, sondern aus den Gedichts-zyklen „Die Kritik des Herzens“ und „Schein und Sein“) - Besonderheit: Vierzehn Verse sind stilgerecht vertont (gibt es ;meta
52746;KritikDesHerzens;www.frankfurt-inklusiv.de;frankfurt-inklusiv.de: Literatur in Einfacher Sprache;"lm Busch: Kritik des Herzens
Johann Wo";"ere sind in Planung.
Folgende Gedichte wurden in Gebärdenpoesie übersetzt:
Wilhelm Busch: Kritik des Herzens
Johann Wolfgang von Goethe: Mailied
Heinrich Heine: Im wunderschönen Monat Mai
August Hei";meta
181609;KritikDesHerzens;encyclopaedia.fandom.com;Bienlein | Encyclopædia Wiki | Fandom;"sammlung »Kritik des Herzens«.[3]
In d";"t.[2] Bei Wilhelm Busch erscheint 1874 ein »Bienlein mit Gebrumm« in der Gedichtsammlung »Kritik des Herzens«.[3]
In der Comicserie Tim und Struppi tritt wiederkehrend ein Professor namens Balduin B";meta
9959;KritikDesHerzens;www.naxos.com;BUSCH, W.: Eduards Traum (gekurzt);sammlung „Kritik des Herzens“, die Wil;sst war: vor allem von Schopenhauer. Das findet seinen Niederschlag in der Lyriksammlung „Kritik des Herzens“, die Wilhelm Busch—ohne Zeichnungen—1874 veröffentlichte, und auch in der kleinen Selbst;meta
104354;KritikDesHerzens;schattenblick.org;SCHATTENBLICK - AUTOREN/057: Wilhelm Busch - Humorist und Menschenfeind (NG/FH);tsammlung Kritik des Herzens, die 1874;en Lyrikern deutscher Sprache wird Busch nicht gezählt. Seine bekannteste Gedichtsammlung Kritik des Herzens, die 1874 erschien, war ein Misserfolg. Das vermutlich, weil der romantische Gefühlston, ;meta
