;kurz;source_domain;title;match;match_long;type
148352;LehrerLaempel;www.stuttgarter-philharmoniker.de;Kinder- und Familienkonzert | 26.01.2016 | Stuttgarter Philharmoniker; Böck und Lehrer Lämpel werden ab;n, die Wilhelm Busch berühmt gemacht haben. Max und Moritz, Witwe Bolte, Meister Böck und Lehrer Lämpel werden abwechslungsreich und spannend in Szene gesetzt. Die Komposition von Gisbert Näthe;meta
53993;LehrerLaempel;www.kubi-online.de;Vor den Dingen sind alle BesucherInnen gleich. Kulturelle Bildungsprozesse in der musealen Ordnung | kubi-online; Maßregel Lehrer Lempels, ein bis;nd oder etwa „noch nicht“ klingt doch in ihrer akademischen Trockenheit wie eine Maßregel Lehrer Lempels, ein bisschen lächerlich. Man könnte nämlich erwidern: die Ungeheuerlichkeit, echtes Mon;Redewendung
11367;LehrerLaempel;www.mozart-w-a.de;Mozart: Andreas Post; und als „Lehrer Lämpel“ in „Max ;" nach Israel und Kroatien.
Seit 2013 ist er Ensemblemitglied der Kammeroper Köln und als „Lehrer Lämpel“ in „Max und Moritz“, als „Mausekönig“ in „Der Nussknacker“, als „Herr Reich“ in „Die lus";meta
38718;LehrerLaempel;www.storchendorf-bornheim.de;Die Bilanz von „Bornheim trifft sich“ zum 31. Juli – ein gutes Ergebnis; und den „Lehrer Lämpel“. Das Ess;"schon beim gemeinsamen Essen mit dabei.
Danke an Inge´s Café, das Freizeitcenter und den „Lehrer Lämpel“. Das Essensangebot bei einem begünstigten Preis von 5 € pro Essen und die Freundlichkeit";Name
83380;LehrerLaempel;www.wochenblatt-reporter.de;Von-Busch-Hof in Stadtanzeiger Bad Dürkheim - Thema; wie sie „Lehrer Lämpels“ Pfeife ;nnt nicht die Geschichte, in der sie die Hühner von „Witwe Bolte“ abmurksen oder wie sie „Lehrer Lämpels“ Pfeife zum Explodieren bringen? Auch die Maikäfer, die in „Onkel Fritz““ Bett krabbeln,;meta
60700;LehrerLaempel;de.m.wikipedia.org;Tabakpfeife – Wikipedia; wird dem Lehrer Lämpel, einem Kn;"ng-Objekte in den Pfeifenhandel geschafft.
Im Vierten Streich bei Max und Moritz wird dem Lehrer Lämpel, einem Knaster-Liebhaber, Schwarzpulver in die Pfeife gefüllt, was zu einer Explosion füh";meta
15883;LehrerLaempel;wirtschaftsjunioren-ostwuerttemberg.de;Forum Wissen | Wirtschaftsjunioren Ostwürttemberg;". –“
Herr Lehrer Lämpel aus Max u";"m Schreiben, Lesen
Soll der Mensch sich Mühe machen;
Muß man mit Vergnügen hören. –“
Herr Lehrer Lämpel aus Max und Moritz von Wilhelm Busch
Fortwährendes Lernen, Weiterbildung und die Weiterga";meta
9602;LehrerLaempel;cms.schulmuseum-ottweiler.net;Lärm und Unfug der Schuljugend;Aus Lehrer Lämpels Kramkist;"Aus Lehrer Lämpels Kramkiste
Den Lärm und Unfug der Schuljugend auf den Straßen und öffentlichen Plätzen be";Redewendung
209670;LehrerLaempel;www.schulmuseum-ottweiler.net;Versammlungen Politischer Vereine;Aus Lehrer Lämpels Kramkist;"Aus Lehrer Lämpels Kramkiste
Verbot der Benutzung der Schullokale zu Versammlungen politischer Vereine.
(Sc";double
213280;LehrerLaempel;gesichtspunkte.de;1699/13: Positionen: Der „käufliche“ Hausverwalter, dessen Kopfhaut und das sinnlose Leben als billiger Edelmann! | gesichtspunkte.de;"Edelmann!
Lehrer Lämpel: Die neue";" „käufliche“ Hausverwalter, dessen Kopfhaut und das sinnlose Leben als billiger Edelmann!
Lehrer Lämpel: Die neuen Leiden des jungen W.
Ein Mensch, der um anderer willen, ohne dass es seine eig";Redewendung
82532;LehrerLaempel;kuratorium-kommende-lengmoos.com;Posaunenquartett SonOro;Figur vom Lehrer Lämpel in Wilhel;"rentwickelt. Das Attentat oder die nackten Fakten… ist seine Paraphrase auf die Figur vom Lehrer Lämpel in Wilhelm Buschs Max und Moritz.
Jan Koetsier (1911-2006) ist ein niederländischer Dirig";meta
2537;LehrerLaempel;www.storchendorf-bornheim.de;Ein wichtiger Schritt auf dem Weg zum Senioren- und Gesundheitszentrum;Friedhof, Lehrer Lämpel und Inge´;altestelle. Dorfgemeinschaftshaus, Bäckerladen, Sport- und Bouleplatz, Kirchen, Friedhof, Lehrer Lämpel und Inge´s Café u.a. liegen in der Nähe. Zudem kann über dieses Grundstück für den Kinder;Name
160484;LehrerLaempel;www.triangelfilm.de;Leistung – Triangel;ch seinem Lehrer Lämpel in den Mu;"t der Beschluss, dass der Mensch was lernen muss.“ Das legte bereits Wilhelm Busch seinem Lehrer Lämpel in den Mund.
„Lebenslanges Lernen“ – in seinen unterschiedlichen Herausforderungen, Alter";meta
32861;LehrerLaempel;www.lokalkompass.de;Frust wegen Mottowoche am Max-Planck-Gymnasium - Chaos mit Ansage? - Düsseldorf;chon über Lehrer Lämpel (Wilhelm ;"ntwortlichen im Stich gelassen.
Schülerstreiche haben Tradition; wer hat nicht schon über Lehrer Lämpel (Wilhelm Busch – Max und Moritz) gelacht oder sich mit dem Oberprimaner Pfeiffer identifi";meta
111783;LehrerLaempel;theater-schwedt.de;Udo Schneider;"d Moritz (Lehrer Lämpel)
2006/07 ";"er Jude in Jeru...)
2007/08 Tom, Dick und Harry (Constable Dawns)
2006/07 Max und Moritz (Lehrer Lämpel)
2006/07 Max und Moritz (Dorfbewohner, Spitz, Hühner, Mai...)
2006/07 Faust. Eine Tragödi";meta
54901;LehrerLaempel;www.n-g-h.org;Naturhistorische Gesellschaft Hannover - Veranstaltung;d Moritz, Lehrer Lempel und Onkel;en dazu. In der Wilhelm-Busch-Gedenkstätte erfahren wir, dass Figuren wie Max und Moritz, Lehrer Lempel und Onkel Fritze hier entstanden sind. Mit dem geheimnisvollen Seeburger See schließt die;meta
24653;LehrerLaempel;www.ruhrnachrichten.de;Max und Moritz;der Böck, Lehrer Lempel und, und,;" Dorfbewohner nahezu in den Wahnsinn treiben. Es geht um die Witwe Bolte, Schneider Böck, Lehrer Lempel und, und, und... Am Sonntag brachte das Von Thomas Schroeter
Westfälische Landestheater
M";meta
29606;LehrerLaempel;www.halternerzeitung.de;Berüchtigte Lausbuben stellen Markt auf den Kopf;der Böck, Lehrer Lempel und, und,; Dorfbewohner nahezu in den Wahnsinn treiben. Es geht um die Witwe Bolte, Schneider Böck, Lehrer Lempel und, und, und... Am Sonntag brachte das Westfälische Landestheater die Streiche von Max u;meta
51388;LehrerLaempel;www.lusshardt-schule.de;Lußhardt-Grundschule Neulußheim (Druckversion) | Berichte & Bilder |;der Böck, Lehrer Lämpel, sowie de;"hatten. Die Schüler waren fasziniert von Max und Moritz, die Witwe Bolte, Schneider Böck, Lehrer Lämpel, sowie den Onkel zur Weißglut brachten.
Die Kinder wunderten sich zunächst, da Max, wider";meta
87756;LehrerLaempel;www.sueddeutsche.de;Kommentar - Schlechte Luft macht krank - Dachau - SZ.de;eiten von Lehrer Lämpel, kann das;"tragten. In einem hochmodernen Bau, wo es nicht durch alle Ritzen zieht wie zu Zeiten von Lehrer Lämpel, kann das nur schief gehen.
Im übrigen geht es nicht nur ums Lernen: Mit höherem Kohlendi";Redewendung
213341;LehrerLaempel;www.prima-magazin.at;Rechte Selbstdemontage | prima! Magazin;"ellschaft
Lehrer Lämpel hat es mi";"lich gratis per Post, in Ihrem Briefkasten!
Unsere Schüler – der Spiegel der Gesellschaft
Lehrer Lämpel hat es mit Max und Moritz schon nicht leicht gehabt. Weit vorbei an Lausbubenstreichen wa";meta
202339;LehrerLaempel;energiemetropole.at;Energiemetropole Wörgl - Max & Moritz: Einfach Bravissimo;erblöden, Lehrer Lämpel eigenhänd;"ion verhaftet witzig und spielerisch von Streich zu Streich, ohne sich dabei zu erblöden, Lehrer Lämpel eigenhändig zuzusetzen.
Übrigens: Wer jetzt auf den Geschmack gekommen ist, der hat im ne";meta
56435;LehrerLaempel;energiemetropole.at;"Energiemetropole Wörgl - Erfolgreiche Kinderoper ""Max & Moritz""";erblöden, Lehrer Lämpel eigenhänd;"on verhaftet, witzig und spielerisch von Streich zu Streich, ohne sich dabei zu erblöden, Lehrer Lämpel eigenhändig zuzusetzen.
Text und Fotos: GMA";double
147285;LehrerLaempel;www.demokratie-leben.de;Virtuelle Brandstiftung | Demokratie leben!;erfei von Lehrer Lämpel aus der B;leber auf dem „Hass lässt ihre Haut altern“ steht. Gleich daneben ziert das Konterfei von Lehrer Lämpel aus der Busch'schen Bubengeschichte Max und Moritz den Ausspruch „Es heißt Meinungsfreihe;meta
85524;LehrerLaempel;www.readbag.com;Read KA10.pdf;gabe 16 : Lehrer Lempel geht auf ;-----------------------------------------------------------------------------Aufgabe 16 : Lehrer Lempel geht auf der Klassenreise mit seiner Klasse Eis essen. In der Klasse sind 25 Kinder. a) D;Redewendung
33009;LehrerLaempel;www.karl-may-stiftung.de;China-Erzählungen - Seite 4 - Café el Kahira – Karl-May-Diskussionsforen;gendeinen Lehrer Lempel mal eben ;ert ein hohes Maß an Verständnis und Feinempfinden, da kann man nicht einfach irgendeinen Lehrer Lempel mal eben drüberwurschteln lassen. Letzteres gab (gibt ?) es leider nichsdestotrotz zuhauf;Redewendung
82764;LehrerLaempel;buecher.karl-may-wiki.de;Karl May Bücher - Bibliographie - Band-Rezensionen;gendeinen Lehrer Lempel mal eben ;ert ein hohes Maß an Verständnis und Feinempfinden, da kann man nicht einfach irgendeinen Lehrer Lempel mal eben drüberwurschteln lassen. Letzteres gab (gibt ?) es leider nichtsdestotrotz zuhau;double
147217;LehrerLaempel;drhelgawaess.blogspot.com;Kunst - Kultur - Blog aus München: Oktober 2015;hnung von Lehrer Lämpel abschwatz;s kommt mir wie gestern vor, dass mein Lehrer in der zweiten Klasse mir die Zeichnung von Lehrer Lämpel abschwatzte. Mit erhobenem Zeigefinger hatte ich ihn (unseren Lehrer) gemalt und daneben ;Redewendung
16343;LehrerLaempel;chnuschperhuesli.ch;Lehrer Lämpels Schulzimmer;immer von Lehrer Lämpel können wi;Im Schulzimmer von Lehrer Lämpel können wir eine Tafel bis zu 30 Personen herrichten, oder auch einzelne Tische von 8-10 P;Redewendung
70190;LehrerLaempel;www.s38-worms.de;Ergebnisse zu: Weiß | S38-Worms.de;k und dem Lehrer Lämpel böse Stre;e nicht, die beiden Buben Max und Moritz, die der Witwe Bolte, dem Schneider Böck und dem Lehrer Lämpel böse Streiche spielen? Oder den listigen Raben Hans Huckebein, der sich selbst gegen Hund;meta
152685;LehrerLaempel;www.otv.de;Medien | Oberpfalz TV;k und der Lehrer Lämpel…bei viele;hre „Kuchenteig“ – Fund in Sulzbach-Rosenberg Die Witwe Bolte, der Schneider Böck und der Lehrer Lämpel…bei vielen von ihnen … 01.10.2015 15:5500:30 Älteste Eisenverarbeitung im großen Stil in ;meta
128157;LehrerLaempel;taz.de;Neue Standards in der Schule: Schulminister sind sich uneins - taz.de;"lich aus.
Lehrer Lämpel
Was für e";"d gar nicht besoldet, sondern schlecht entlohnt. In Berlin sieht oder sah es ähnlich aus.
Lehrer Lämpel
Was für ein Schwachsinn, aber die Kultusminister hatten wohl vergessen zu fragen, wie die";Redewendung
77667;LehrerLaempel;www.demokratisch-links.de;DEMOKRATISCH – LINKS » 2019 » August;lm Busch: Lehrer Lämpel (aus Max ;"n Nachwuchs sicher vor den Schmuddelkindern beschult wissen wollen.
Oben — Wilhelm Busch: Lehrer Lämpel (aus Max und Moritz)…
Wilhelm Busch – Busch Gesamtausgabe in vier Bänden…
File:Lämpel.jpg";meta
191125;LehrerLaempel;cms.schulmuseum-ottweiler.net;Die Schule in der Karikatur;lm Buschs Lehrer Lämpel trägt, un;"Raum als Klassenzimmer aus, und das schwarze Scheitelkäppchen, wie
es auch Wilhelm Buschs Lehrer Lämpel trägt, unterscheidet den Dorfschulmeister vom Gymnasiallehrer.
In Karikaturen des 19. Jah";meta
24582;LehrerLaempel;www.imtm-iaw.ruhr-uni-bochum.de;Nalbantova, Gergana Dipl.-Inform. « Lehrstuhl für Informations− und Technikmanagement;luation – Lehrer Lempel Pokal WS ;"ersität Dortmund
Mitorganisation von SchnupperUni für Schülerinnen 2006
Lehreevaluation – Lehrer Lempel Pokal WS 2006 an der Universität Dortmund
Studentische Hilfskraft am Lehrstuhl Informatio";Name
71592;LehrerLaempel;sowi-online.de;"Jeismann, Karl-Ernst; Kosthorst, Erich (1979): Geschichte und Gesellschaftslehre. Die Stellung der Geschichte in den Rahmenrichtlinien für die Sekundarstufe I in Hessen und den Rahmenlehrplänen für die Gesamtschulen in Nordrhein Westfalen. Eine Kritik";"m Buschs ""Lehrer Lämpel"" ein (H. ";"eien. Nur Bungerts Buch, ""Die Odyssee der Lehrerschaft"" fällt ihnen neben Wilhelm Buschs ""Lehrer Lämpel"" ein (H. S. 67). Nun ist offenkundig, dass gerade zur Erziehungsgeschichte eine Vielzahl ";meta
30827;LehrerLaempel;www.stern.de;Kinderbuch Klassiker: Fünf Lektüren zum (Vor-)Lesen | STERN.de;n, bis zu Lehrer Lämpel, dem die ;Lesevergnügen für Groß und Klein: Von der Witwe Bolte, der sie die Hühner stehlen, bis zu Lehrer Lämpel, dem die frechen Jungs Schießpulver in die Pfeife stopfen, fallen den Buben immer wieder ;meta
213538;LehrerLaempel;www.da-imnetz.de;„Wichtig für die Innenstadt“ | Dieburg;"n.“
Beim „Lehrer Lämpel“ lässt si";"en zu fragen“, sagt sie aber. „Da lassen sich sicherlich Synergieeffekte erzielen.“
Beim „Lehrer Lämpel“ lässt sich Jörg Zoller zwar noch nicht in die Karten gucken, ob sich das Lokal schon bew";Name
