;kurz;source_domain;title;match;match_long;type
123286;OnkelFritz;www.literaturmarkt.info;Literaturmarkt.info - Jörg-Michael Günther: Der Fall Max und Moritz;" Bett von Onkel Fritz
et cetera";"Flintenpulver in die Pfeife des Lehrers Lämpel
4. Das Verstecken der Maikäfer im Bett von Onkel Fritz
et cetera pp.
Max und Moritz haben ein langes Strafregister. Sie machen sich unter andere";meta
45604;OnkelFritz;konditoren.de;DAS KONDITORENHANDWERK. Presse; Bett von Onkel Fritze mit der ;orfen - beliebt ist der in seiner natürlichen Baumwelt lebende Maikäfer oder das Bett von Onkel Fritze mit der spitzen Zipfelmütze - damit sich die Tiere auch außerhalb der Konditorei wohl fü;meta
29256;OnkelFritz;www.juedisches-leben-frankfurt.de;Familie Tachau - Projekt Jüdisches Leben in Frankfurt <!- 01 master | juedisches-leben-frankurt.de [2020] -->; dem sein Onkel Fritz den Tod f;m ersten Mal intensiv mit seiner Familiengeschichte konfrontiert, an dem Ort, an dem sein Onkel Fritz den Tod fand. Seit dieser Zeit sucht er die Spuren seiner Geschichte. So fand er in There;fail
213123;OnkelFritz;de.linkfang.org;﻿﻿﻿ Schadenfreude - de.LinkFang.org;" der gute Onkel Fritze
sprach: ";"l!“
„Freilich!“ meint der Zuckerbäcker,
„Warum ist der Mensch so lecker!“
Selbst der gute Onkel Fritze
sprach: „Das kommt von dumme Witze!“
Doch der brave Bauersmann
dachte: „Wat geiht meck d";meta
26654;OnkelFritz;www.buecherwiki.org;BücherWiki: DieTraumbude; erinnert Onkel Fritz an dessen;"re Monate andauert.
Unterdessen wächst Elisabeth zu einer reifen Frau heran. Sie erinnert Onkel Fritz an dessen verstorbene Liebe Lu, zu der Fritz aber durch unglückliche Umstände nie stehen ";fail
192575;OnkelFritz;www.syndia-detzler.de;Jenseitskontakt – GP-Saarland; geliebte Onkel Fritz ist der d;e ein Kritiker einwenden, wie soll man denn dann wissen, ob es auch wirklich der geliebte Onkel Fritz ist der da spricht? Ein Skeptiker könnte sagen, ich denke mir das ganze aus und sage „Onk;Redewendung
102629;OnkelFritz;www.vasilov.eu;Stark bleiben wie Max und Moritz - Vasilov; oder vom Onkel Fritz. Jeder so;d die Geschichten von Max und Moritz kennt. Ob die Geschichte vom Meister Bäcker oder vom Onkel Fritz. Jeder sollte die Geschichten der Lausbuben kennen. Zu achten ist jedoch auf die Persönli;meta
35098;OnkelFritz;www.jf-archiv.de;14.10.05 / Hölle auf Erden / Im jugoslawischen Todeslager; war mein Onkel Fritz Glas. Er ;" Ende 1944 wieder zu Jugoslawien zu gehören.
Das erste Opfer aus unserer Familie war mein Onkel Fritz Glas. Er wurde während des Krieges 1941 als jugoslawischer Staatsbürger zur jugoslawische";fail
30180;OnkelFritz;www.janchristianhansen.com;Jan-Christian Hansen;, Opa und Onkel Fritzi fanden d; Die eigenen Texte, Geschichten und Ideen sind das Nonplusultra. Mama, Papa, Oma, Opa und Onkel Fritzi fanden die Texte ja auch phänomenal, wie können die Verlage und Literaturagenturen da di;fail
83380;OnkelFritz;www.wochenblatt-reporter.de;Von-Busch-Hof in Stadtanzeiger Bad Dürkheim - Thema;, die in „Onkel Fritz““ Bett kr;" oder wie sie „Lehrer Lämpels“ Pfeife zum Explodieren bringen? Auch die Maikäfer, die in „Onkel Fritz““ Bett krabbeln, sind dort von den beiden Schlingeln...
Klarinettistin Sabine Meyer zu Ga";meta
160440;OnkelFritz;veganinfo.blog;Greenwashing: Die Rügenwalder-Lüge – Vegan Info;, sondern Onkel Fritz, der imme;hr zu kaufen. Der Einzelne muss Beginnen, nicht Rügenwalder sollte gerügt werden, sondern Onkel Fritz, der immer noch im Wochentakt die 1,99 EUR Angebote von Wilhelm Brandenburger konsumiert.;Redewendung
66925;OnkelFritz;web0.fhnw.ch;Klaus Kordon: Im Spinnennetz – Zentrum Lesen;, von der Onkel Fritz sagt: Als;chen aus dem Elendsquartier, Anna, die er so sehr ins Herz geschlossen hat, Anna, von der Onkel Fritz sagt: Also, dit is’n Mädel -’n janz patenter Kerl! Und Augen hat die Kleene! Jar nich gro;fail
207381;OnkelFritz;deaddodo.org;Ruedi Walter – Ugugu;Hecht als Onkel Fritz, 1966 und;er in Zürich in der Schauspielhaus-Inszenierung von Paul Burkhards Der Schwarze Hecht als Onkel Fritz, 1966 und 1981 in zwei weiteren Inszenierungen den Onkel Gustav. Margrit Rainer stellte i;fail
61869;OnkelFritz;www.stuttgarter-zeitung.de;„Schtonk“ als Theaterstück in Esslingen: Die Affäre um die „Hitler“-Tagebücher auf der Bühne - Kultur - Stuttgarter Zeitung;Lied vom „Onkel Fritz“ erinnert;izt den komischen Effekt jedoch nicht aus. Ins Groteske, das an Georg Kreislers Lied vom „Onkel Fritz“ erinnert, changiert die Handlung, wenn Hermann Willié zwei Löffel von der angeblichen As;fail
89152;OnkelFritz;www.gesichter-der-kz-zwangsarbeit.de;"""Wie der Autor zu seinem Thema kam..."" | Gesichter der KZ-Zwangsarbeit";Stimmung, Onkel Fritz hatte ein; mein Vater, meine Mutter, meine Schwester, ich. Es war eigentlich eine heitere Stimmung, Onkel Fritz hatte ein Fässchen Fische mitgebracht aus Norwegen. Er hat beim Essen die Rückgrate mit d;fail
69079;OnkelFritz;heimatbund-emsdetten.de;„Heimat“ im Wandel der Zeit… ? – Heimatbund Emsdetten;Worte von Onkel Fritz und Tante;" bei sich bietenden Gelegenheiten genau das zu tun; kleine Strafen und mahnende Worte von Onkel Fritz und Tante Mietze in Kauf nehmend.
Unterbrochen wurden diese beliebten praktizierten Tages";Redewendung
59399;OnkelFritz;blog.gci-management.com;Wieso die Börse mehr ist als ein reiner Geldmarkt;a und der Onkel Fritz, die das ;"genannten Micro- und Small-Caps?
Das sind in erster Linie nicht mehr die Oma Erna und der Onkel Fritz, die das in der Zeitung gelesen haben, sondern spezialisierte, institutionelle Investiere";Redewendung
170546;OnkelFritz;www.etahg.de;E.T.A. Hoffmann-Gesellschaft - Notizen;affen von Onkel Fritz. Opa hatt;n des Hauses meines Onkels stand eine halb lebensgroße Skulptur Hoffmanns, geschaffen von Onkel Fritz. Opa hatte eine bronzene Gedenktafel des Dichters. In Berlin nahm Papa mich mit zu Lutter;fail
40560;OnkelFritz;www.wina-magazin.at;Diversität statt Multikulturalität - Wina - Das jüdische Stadtmagazin;an meinen Onkel Fritz, der nach;e war ganz assimiliert und nicht religiös, doch ich habe bleibende Erinnerungen an meinen Onkel Fritz, der nach England flüchten musste und nach dem Krieg dort geblieben ist. Er kam regelmäßi;fail
5058;OnkelFritz;www.bpb.de;"DA 2/2011 – Interview mit Generaloberst Mereschko zur ""Grenzordnung zwischen beiden Teilen Berlins""";auch mein Onkel Fritz Wilke in ;"en wir auch die beiden Soldatenfriedhöfe vor der Stadt; auf dem deutschen liegt auch mein Onkel Fritz Wilke in einem Massengrab. An diesem Ort begann für Mereschko 1942 sein Einsatz um Stalin";fail
202980;OnkelFritz;www.literaturhaus-stuttgart.de;Claire Beyer: Revanche | Freitag, 27.09.19 / 19.30 Uhr | Literaturhaus Stuttgart;ch seinem Onkel Fritz und die S;r die attraktive, aber kapriziöse Lea Berner kennen lernt. Doch die Sehnsucht nach seinem Onkel Fritz und die Suche nach den eigenen Wurzeln lassen ihn tiefer in die Verflechtungen der eigene;fail
