;kurz;source_domain;title;match;match_long;type
61482;Streich;diesiebtesichel.wordpress.com;Februar | 2015 | diesiebtesichel;"
Nun, das war der erste Streich des Amtsg";"on der lästigen nichtjuristischen Öffentlichkeit – intern juristisch besprochen.
Nun, das war der erste Streich des Amtsgerichts Heilbronn gegen Conny Axel Meier. Richter Berkners zweiter Vorwurf im Hi";Redewendung
171215;Streich;www.exlibris.ch;Deutscher Comic (Werk) - - Buch kaufen | Ex Libris;", ""Dieses war der erste Streich, doch der";"eser Bildergeschichte wie ""Aber wehe, wehe, wehe! / Wenn ich auf das Ende sehe!"", ""Dieses war der erste Streich, doch der zweite folgt sogleich"" und ""Gott sei Dank! Nun ist's vorbei / Mit der Übeltäter";meta
136028;Streich;de.bookmate.com;Hören Sie sich das Hörbuch “Max und Moritz”, von Wilhelm Busch bei Bookmate an;", ""Dieses war der erste Streich, doch der";"eser Bildergeschichte wie ""Aber wehe, wehe, wehe! / Wenn ich auf das Ende sehe!"", ""Dieses war der erste Streich, doch der zweite folgt sogleich"" und ""Gott sei Dank! Nun ist’s vorbei / Mit der Übeltäter";double
74439;Streich;www.ebooksbilliger.de;Max und Moritz - Eine Bubengeschichte in sieben Streichen als eBook | Belletristik;, „Dieses war der erste Streich, doch der;dieser Bildergeschichte wie „Aber wehe, wehe, wehe! Wenn ich auf das Ende sehe!“, „Dieses war der erste Streich, doch der zweite folgt sogleich“ und „Gott sei Dank! Nun ist’s vorbei mit der Übeltäterei;double
202484;Streich;www.brenscheder-bauern.de;Maibaumpotten 2017 - Brenscheder Bauern e.V.;.. dieses war der erste Streich, doch der;"der Bauern werden aber schon am Ende des ersten Streichs Maikäfer verteiltdenn ... dieses war der erste Streich, doch der zweite folgt sogleich:
Nach dem Festumzug durch das Kirchviertel Bochum-Wiemelh";Redewendung
184984;Streich;realschule-philippsburg.de;Konrad-Adenauer-Realschule Philippsburg - 5er im Staatstheater;"0
„Dieses war der erste Streich….“ – Max ";"Erstellt: 17. January 2020
„Dieses war der erste Streich….“ – Max und Moritz als Theaterstück im Staatstheater Karlsruhe
Am Freitagvormittag macht";meta
177399;Streich;de.linkfang.org;﻿﻿﻿ Liste geflügelter Worte/D - de.LinkFang.org;"29 Dieses war der erste Streich
230 Ding ";"es Glücks
227 Die wunderbaren Jahre
228 Die Würde des Menschen ist unantastbar
229 Dieses war der erste Streich
230 Ding an sich
231 Do ut des
232 Doch der Segen kommt von oben
233 Doch die Verhältniss";meta
2879;Streich;www.kulturkreiskamen.de;Kultur Kreis Kamen | Seite 5;: „Dieses war der erste Streich …“, began;en, Busch angemessen, unterhielt er es blendend. Er brachte es dazu, mitzumachen: „Dieses war der erste Streich …“, begann er, und das Publikum skandierte: „… und der zweite folgt sogleich.“ Und jeder ;meta
100238;Streich;www.rheinbruecke-online.de;Nachwuchs in der Dickhäuterherde im Kölner Zoo;: „Dieses war der erste Streich. Bei drei; Der zuständige Kurator für die Elefanten, Zoodirektor Theo B. Pagel, freut sich: „Dieses war der erste Streich. Bei drei weiteren Elefantenkühen erwarten wir in den nächsten Monaten eine Geburt. Mit d;Redewendung
161147;Streich;blog.zeit.de;Dieses war der erste Streich! Doch der zweite... - Zweitstimme;Dieses war der erste Streich! Doch der;"Dieses war der erste Streich! Doch der zweite…
Erste Hürde genommen! Der Koalitionsvertrag zwischen Union und SPD steh";Redewendung
